,Capex (GBP/tCO2/year),Capex SD,Fuel cost (GBP/tCO2),Fuel cost SD,Opex (GBP/tCO2/year),Opex SD,Storage (GBP/tCO2),Storage SD,Lifetime,Lead time,Capacity factor,Elec efficiency (MWh/tCO2),Heat efficiency (MWh/tCO2),Capex learning exp,Opex learning exp,Efficiency learning exp,Discount rate
1 DAC,1271.541926,317.8854815,0,0,109.9059586,27.47648966,17,4.25,20,2,0.9,0.7,3.31,-0.184424571,-0.112474729,-0.074000581,0.1
2 DOC,6088.531605,1522.132901,0,0,399.4161046,99.85402614,17,4.25,15,2,0.9,4.71,0,-0.184424571,-0.112474729,-0.074000581,0.1
