,Capex (GBP/kW),Capex SD,Opex (GBP/kW),Opex SD,Lifetime,Lead time,Capacity factor,Efficiency (MWh/t),Capex learning exp,Opex learning exp,Efficiency learning exp,Discount rate,Energy content (kWh/t),CO2 required (tco2/kwh),H2 required (kwh/kwh),Transport (GBP/kg),Storage (GBP/kg)
1 Fossil gas,0,0,0,0,0,0,0,0,0,0,0,0,13900,0,0,0,0
2 Synthetic methane,1560.440777,390.1101943,56.96283795,14.24070949,15,3,0.9,0.035,-0.234465254,0,-0.029146346,0.1,13900,0.0002,1.2,0,0.017
3 Hydrogen BOP,822.2582621,205.5645655,56.52279254,14.13069814,20,3,0.9,50,-0.074000581,0,-0.029146346,0.1,33300,0,0,0.31,0.24
4 Hydrogen stack,614.5824549,153.6456137,0,0,10,0,0.9,0,-0.286304185,0,0,0.1,0,0,0,0,0
