removal,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 DAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.007732941,0.011959676,0.018496695,0.028606771,0.044242896,0.068425543,0.105826141,0.163669467,0.253129275,0.391486764,0.605468832,0.936410984,1.44824223,2.239834424,3.464101615,5.357538874,8.285906701,12.81488599,19.81935217,30.6523773,47.40660673,73.3185012,113.3935329,175.3731062,271.2299864,419.4811115,648.7645604,1003.37165,1551.802809,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
2 DOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00005,9.02E-05,0.000162575,0.000293153,0.00052861,0.000953184,0.001718772,0.003099272,0.005588574,0.010077258,0.018171206,0.032766128,0.059083539,0.106538818,0.19210968,0.346410162,0.624643173,1.126350023,2.031022557,3.662318589,6.603854498,11.90800122,21.472383,38.718776,69.8172911,125.8938076,227.0103945,409.3427642,738.1225825,1330.974905,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
