combustion,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Conventional,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2 CCS retrofit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.924286492,3.702878502,7.125399082,13.7113092,26.38448708,50.77131207,97.69854999,188,234.5286732,292.5728645,364.9825836,455.3131972,568,581.6474614,595.6228333,609.9339946,624.5890134,639.5961515,654.9638694,670.7008309,686.8159078,703.3181852,720.2169665,737.5217785,755.2423771,773.3887524,791.9711347,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811
3 H2 ready,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.802419712,1.287754788,2.066639653,3.31662479,5.322650218,8.541998911,13.70853661,22,25.71499192,30.05730951,35.13288505,41.06553887,48,49.40534498,50.85183569,52.34067677,53.87310818,55.45040615,57.07388428,58.74489463,60.46482886,62.23511936,64.05724046,65.93270966,67.86308888,69.84998579,71.8950551,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4 H2 retrofit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.802419712,1.287754788,2.066639653,3.31662479,5.322650218,8.541998911,13.70853661,22,25.71499192,30.05730951,35.13288505,41.06553887,48,49.40534498,50.85183569,52.34067677,53.87310818,55.45040615,57.07388428,58.74489463,60.46482886,62.23511936,64.05724046,65.93270966,67.86308888,69.84998579,71.8950551,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
