,Capex (GBP/kW),Capex SD,Opex (GBP/kW),Opex SD,Lifetime,Lead time,Capacity factor,Efficiency (%),CO2 emissions (gCO2/kWh),Capex learning exp,Opex learning exp,Efficiency learning exp,Discount rate
1 Conventional,1275.183194,318.7957984,28.78018463,7.195046157,25,3,0.3,0.623,370,-0.058893689,0,0,0.05
2 CCS retrofit,973.4683943,243.3670986,36.636,9.159,25,3,0.3,0.543,5.55,-0.058893689,0,0,0.05
3 H2 ready,976,292.8,22.9,6.87,25,3,0.3,0.623,370,-0.058893689,0,0,0.05
4 H2 retrofit,48.64506033,12.16126508,29.99806999,7.499517498,25,3,0.3,0.623,0,-0.058893689,0,0,0.05
