,Capex (GBP/tCO2/year),Capex SD,Fuel cost (GBP/tCO2),Fuel cost SD,Opex (GBP/tCO2/year),Opex SD,Storage (GBP/tCO2),Lifetime,Lead time,Capacity factor,Elec efficiency (MWh/tCO2),Heat efficiency (MWh/tCO2),Capex learning exp,Opex learning exp,Efficiency learning exp,Discount rate
1 DAC,9289.687097,2322.421774,0,0,586.5022755,146.6255689,17,20,2,0.9,0.7,3.31,-0.184424571,-0.112474729,-0.074000581,0.15
2 DOC,26577.40441,6644.351101,0,0,2956.463837,739.1159593,17,15,2,0.9,4.71,0,-0.184424571,-0.112474729,-0.074000581,0.15
