,Capex (GBP/kW),Capex SD,Opex (GBP/kW),Opex SD,Lifetime,Lead time,Capacity factor,Efficiency (MWh/t),Capex learning exp,Opex learning exp,Efficiency learning exp,Discount rate,Energy content (kWh/t),CO2 required (tco2/kwh),H2 required (kwh/kwh)
1 Fossil gas,0,0,0,0,0,0,0,0,0,0,0,0,13900,0,0
2 Synthetic methane,2428.45,607.1125,101.6666667,25.41666667,15,3,0.9,0.035,-0.234465254,0,-0.029146346,0.1,13900,0.0002,1.2
3 Hydrogen BOP,1797.79,449.45,118.9610453,29.74026132,20,3,0.9,50,-0.184,0,-0.029146346,0.1,33300,0,0
4 Hydrogen stack,1228.88,307.22,0,0,10,0,0.9,0,-0.359,0,0,0.1,0,0,0
