molecule,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Fossil gas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2 Synthetic methane,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14.17149,15.60479011,17.18305374,18.92094247,20.83460072,22.94180578,25.26213291,27.8171372,30.63055383,33.72851855,37.13981046,40.89611938,45.03234021,49.58689714,54.60210055,60.12454007,66.20551742,72.90152292,80.27476035,88.39372473,97.33383865,107.1781529,118.0181181,129.954434,143.0979851,157.570871,173.50754,191.0560388,210.3793874,231.6570934,255.08682,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3 Hydrogen BOP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,2.724,5.408,8.262,11.297,14.524,17.956,21.605,25.486,29.612,34,38.666,43.628,48.904,54.514,60.481,66.825,73.571,80.745,88.373,96.485,105.111,114.284,124.038,134.41,145.439,157.168,169.639,182.901,197.004,212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4 Hydrogen stack,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,2.724,5.408,8.262,11.297,14.524,17.956,21.605,25.486,29.612,34,38.666,43.628,48.904,54.514,60.481,66.825,73.571,80.745,88.373,96.485,105.111,114.284,124.038,134.41,145.439,157.168,169.639,182.901,197.004,212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
